,Unnamed: 0,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
99,99, Eternal Sunshine of the Spotless Mind ,10,2004,Michel Gondry,Michael Atkinson,The Village Voice,US
100,100, There Will Be Blood ,1,2007,Paul Thomas Anderson,Ana Maria Bahiana,Freelance film critic,Brazil
101,101, Mulholland Drive ,2,2001,David Lynch,Ana Maria Bahiana,Freelance film critic,Brazil
102,102, Children of Men ,3,2006,Alfonso Cuarón,Ana Maria Bahiana,Freelance film critic,Brazil
103,103, City of God ,4,2002,Fernando Meirelles and Kátia Lund,Ana Maria Bahiana,Freelance film critic,Brazil
104,104, Pan's Labyrinth ,5,2006,Guillermo Del Toro,Ana Maria Bahiana,Freelance film critic,Brazil
105,105, Inception ,6,2010,Christopher Nolan,Ana Maria Bahiana,Freelance film critic,Brazil
106,106, The Incredibles ,7,2004,Brad Bird,Ana Maria Bahiana,Freelance film critic,Brazil
107,107, Birdman ,8,2014,Alejandro González Iñárritu,Ana Maria Bahiana,Freelance film critic,Brazil
108,108, No Country For Old Men ,9,2007,Joel and Ethan Coen,Ana Maria Bahiana,Freelance film critic,Brazil
109,109, Brokeback Mountain ,10,2005,Ang Lee,Ana Maria Bahiana,Freelance film critic,Brazil
110,110, In the Mood for Love ,1,2000,Wong Kar-wai,Cameron Bailey,Toronto Film Festival,Canada
111,111, 12 Years a Slave ,2,2013,Steve McQueen,Cameron Bailey,Toronto Film Festival,Canada
112,112, Spirited Away ,3,2001,Hayao Miyazaki,Cameron Bailey,Toronto Film Festival,Canada
113,113, Fish Tank ,4,2009,Andrea Arnold,Cameron Bailey,Toronto Film Festival,Canada
114,114, Mommy ,5,2014,Xavier Dolan,Cameron Bailey,Toronto Film Festival,Canada
115,115, Talk to Her ,6,2002,Pedro Almodóvar,Cameron Bailey,Toronto Film Festival,Canada
116,116, Timbuktu ,7,2014,Abderrahmane Sissako,Cameron Bailey,Toronto Film Festival,Canada
117,117, Selma ,8,2014,Ava DuVernay,Cameron Bailey,Toronto Film Festival,Canada
118,118, The White Ribbon ,9,2009,Michael Haneke,Cameron Bailey,Toronto Film Festival,Canada
119,119, The Headless Woman ,10,2008,Lucrecia Martel,Cameron Bailey,Toronto Film Festival,Canada
120,120, The Royal Tenenbaums ,1,2001,Wes Anderson,Lindsay Baker,BBC Culture,UK
121,121, Far From Heaven ,2,2002,Todd Haynes,Lindsay Baker,BBC Culture,UK
122,122, Moonrise Kingdom ,3,2012,Wes Anderson,Lindsay Baker,BBC Culture,UK
123,123, Lost in Translation ,4,2003,Sofia Coppola,Lindsay Baker,BBC Culture,UK
124,124, A Single Man ,5,2009,Tom Ford,Lindsay Baker,BBC Culture,UK
125,125, Spirited Away ,6,2001,Hayao Miyazaki,Lindsay Baker,BBC Culture,UK
126,126, Toy Story 3 ,7,2010,Lee Unkrich,Lindsay Baker,BBC Culture,UK
127,127, Eternal Sunshine of the Spotless Mind ,8,2004,Michel Gondry,Lindsay Baker,BBC Culture,UK
128,128, I Am Love ,9,2009,Luca Guadagnino,Lindsay Baker,BBC Culture,UK
129,129, Donnie Darko ,10,2001,Richard Kelly,Lindsay Baker,BBC Culture,UK
130,130, Inherent Vice ,1,2014,Paul Thomas Anderson,Miriam Bale,Freelance film critic,US
131,131, Film socialisme ,2,2010,Jean-Luc Godard,Miriam Bale,Freelance film critic,US
132,132, A History of Violence ,3,2005,David Cronenberg,Miriam Bale,Freelance film critic,US
133,133, This Is the End ,4,2013,Evan Goldberg and Seth Rogen,Miriam Bale,Freelance film critic,US
134,134, Somewhere ,5,2010,Sofia Coppola,Miriam Bale,Freelance film critic,US
135,135, Holy Motors ,6,2012,Leos Carax,Miriam Bale,Freelance film critic,US
136,136, Almayer's Folly ,7,2011,Chantal Akerman,Miriam Bale,Freelance film critic,US
137,137, Inside Llewyn Davis ,8,2013,Joel and Ethan Coen,Miriam Bale,Freelance film critic,US
