,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
1456, Amores Perros ,7,2000,Alejandro González Iñárritu,Alaka Sahani,The Indian Express,India
1457, Infernal Affairs ,8,2002,Andrew Lau and Alan Mak,Alaka Sahani,The Indian Express,India
1458, Lost in Translation ,9,2003,Sofia Coppola,Alaka Sahani,The Indian Express,India
1459, Shrek ,10,2001,Andrew Adamson and Vicky Jenson,Alaka Sahani,The Indian Express,India
1470, Werckmeister Harmonies ,1,2000,Béla Tarr and Ágnes Hranitzky,Eric Sasono,Freelance film critic,Indonesia
1471, Leviathan ,2,2012,Lucien Castaing-Taylor and Verena Paravel,Eric Sasono,Freelance film critic,Indonesia
1472, The Gleaners and I ,3,2000,Agnès Varda,Eric Sasono,Freelance film critic,Indonesia
1473, The Great Beauty ,4,2013,Paolo Sorrentino,Eric Sasono,Freelance film critic,Indonesia
1474, The Act of Killing ,5,2012,Joshua Oppenheimer,Eric Sasono,Freelance film critic,Indonesia
1475," Norte, the End of History ",6,2013,Lav Diaz,Eric Sasono,Freelance film critic,Indonesia
1476, Caché ,7,2005,Michael Haneke,Eric Sasono,Freelance film critic,Indonesia
1477, Nostalgia for the Light ,8,2010,Patricio Guzmán,Eric Sasono,Freelance film critic,Indonesia
1478, Spirited Away ,9,2001,Hayao Miyazaki,Eric Sasono,Freelance film critic,Indonesia
1479, A Separation ,10,2011,Asghar Farhadi,Eric Sasono,Freelance film critic,Indonesia
1570, Mulholland Drive ,1,2001,David Lynch,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1571, No Country For Old Men ,2,2007,Joel and Ethan Coen,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1572, Amélie ,3,2001,Jean-Pierre Jeunet,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1573, Memento ,4,2000,Christopher Nolan,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1574, In the Mood for Love ,5,2000,Wong Kar-wai,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1575, Talk to Her ,6,2002,Pedro Almodóvar,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1576, Memories of Murder ,7,2003,Bong Joon-ho,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1577, WALL-E ,8,2008,Andrew Stanton,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1578, Bowling for Columbine ,9,2002,Michael Moore,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1579, Children of Men ,10,2006,Alfonso Cuarón,Soh Jae Yong,Seoul Institute of the Arts,South Korea
1640, The Assassin ,1,2015,Hou Hsiao-hsien,Stephen Teo,Nanyang Techological University,Singapore
1641, The Grand Budapest Hotel ,2,2014,Wes Anderson,Stephen Teo,Nanyang Techological University,Singapore
1642, Inception ,3,2010,Christopher Nolan,Stephen Teo,Nanyang Techological University,Singapore
1643, Uncle Boonmee Who Can Recall His Past Lives ,4,2010,Apichatpong Weerasethakul,Stephen Teo,Nanyang Techological University,Singapore
1644, The Act of Killing ,5,2012,Joshua Oppenheimer,Stephen Teo,Nanyang Techological University,Singapore
1645, No Country For Old Men ,6,2007,Joel and Ethan Coen,Stephen Teo,Nanyang Techological University,Singapore
1646, A Tale of Two Sisters ,7,2003,Kim Jee-woon,Stephen Teo,Nanyang Techological University,Singapore
1647, Still Life ,8,2006,Jia Zhangke,Stephen Teo,Nanyang Techological University,Singapore
1648, Spirited Away ,9,2001,Hayao Miyazaki,Stephen Teo,Nanyang Techological University,Singapore
1649, In the Mood for Love ,10,2000,Wong Kar-wai,Stephen Teo,Nanyang Techological University,Singapore
1700, Mulholland Drive ,1,2001,David Lynch,[],Taipei Golden Horse Film Festival,Taiwan
1701, The Assassin ,2,2015,Hou Hsiao-hsien,[],Taipei Golden Horse Film Festival,Taiwan
1702, A Separation ,3,2011,Asghar Farhadi,[],Taipei Golden Horse Film Festival,Taiwan
1703, Moulin Rouge! ,4,2001,Baz Luhrmann,[],Taipei Golden Horse Film Festival,Taiwan
1704, Tropical Malady ,5,2004,Apichatpong Weerasethakul,[],Taipei Golden Horse Film Festival,Taiwan
1705, In the Mood for Love ,6,2000,Wong Kar-wai,[],Taipei Golden Horse Film Festival,Taiwan
1706, Spirited Away ,7,2001,Hayao Miyazaki,[],Taipei Golden Horse Film Festival,Taiwan
1707," 4 Months, 3 Weeks & 2 Days ",8,2007,Cristian Mungiu,[],Taipei Golden Horse Film Festival,Taiwan
1708, Yi Yi: A One and a Two ,9,2000,Edward Yang,[],Taipei Golden Horse Film Festival,Taiwan
1709, Bowling for Columbine ,10,2002,Michael Moore,[],Taipei Golden Horse Film Festival,Taiwan
1760," Spring, Summer, Fall, Winter…and Spring ",1,2003,Kim Ki-duk,Raymond Zhou,China Daily,China
1761, The Hours ,2,2002,Stephen Daldry,Raymond Zhou,China Daily,China
1762, The Sun Also Rises ,3,2007,Jiang Wen,Raymond Zhou,China Daily,China
1763, A Separation ,4,2011,Asghar Farhadi,Raymond Zhou,China Daily,China
1764," Lust, Caution ",5,2007,Ang Lee,Raymond Zhou,China Daily,China
1765, The Lives of Others ,6,2006,Florian Henckel von Donnersmarck,Raymond Zhou,China Daily,China
1766, Still Life ,7,2006,Jia Zhangke,Raymond Zhou,China Daily,China
1767, Birdman ,8,2014,Alejandro González Iñárritu,Raymond Zhou,China Daily,China
1768, Infernal Affairs ,9,2002,Andrew Lau and Alan Mak,Raymond Zhou,China Daily,China
1769, City of God ,10,2002,Fernando Meirelles and Kátia Lund,Raymond Zhou,China Daily,China
